2;05:17; 01-10-13;<UC;#NOME?
 UC; 06:00; 01-10-13;UNITÀ;ELABORAZIONE
1;06:30; 01-10-13;Disinserimento;Area 02 (MAGAZZINO E LABORATORIO)  
1;06:30; 01-10-13;DISINSERITA;AREA  n°02 (MAGAZZINO E LABORATORIO)
2;06:30; 01-10-13;Disinserimento;Area 04 (INTERRATO MECCANICO)  
2;06:30; 01-10-13;DISINSERITA;AREA  n°04 (INTERRATO MECCANICO)
2;06:30; 01-10-13;Disinserimento;Area 05 (INTERRATO ELETTRICO)  
2;06:30; 01-10-13;DISINSERITA;AREA  n°05 (INTERRATO ELETTRICO)
2;06:30; 01-10-13;Disinserimento;Area 06 (CABINE ELETTRICHE ESTERNE)  
2;06:30; 01-10-13;DISINSERITA;AREA  n°06 (CABINE ELETTRICHE ESTERNE)
2;06:30; 01-10-13;Disinserimento;Area 07 (PERIMETRALE GENERATORI)  
2;06:30; 01-10-13;DISINSERITA;AREA  n°07 (PERIMETRALE GENERATORI)
 UC; 07:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 08:00; 01-10-13;UNITÀ;ELABORAZIONE
1;08:00; 01-10-13;Disinserimento;Area 08 (* FRASE NON PROGRAMMATA *)  
1;08:00; 01-10-13;DISINSERITA;AREA  n°08 (* FRASE NON PROGRAMMATA *)
 UC; 09:00; 01-10-13;UNITÀ;ELABORAZIONE
1;09:54; 01-10-13;130;CM US MAGAZZ     ALLARME 
 UC; 10:00; 01-10-13;UNITÀ;ELABORAZIONE
1;10:17; 01-10-13;130;CM US MAGAZZ     RIPOSO 
1;10:19; 01-10-13;<UC;#NOME?
1;10:21; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;10:23; 01-10-13;130;CM US MAGAZZ     RIPOSO 
1;10:25; 01-10-13;<UC;#NOME?
1;10:25; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;10:26; 01-10-13;130;CM US MAGAZZ     RIPOSO 
1;10:26; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;10:26; 01-10-13;<UC;#NOME?
1;10:26; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;10:26; 01-10-13;130;CM US MAGAZZ     RIPOSO 
1;10:26; 01-10-13;<UC;#NOME?
1;10:27; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;10:27; 01-10-13;130;CM US MAGAZZ     RIPOSO 
1;10:27; 01-10-13;<UC;#NOME?
 UC; 10:32; 01-10-13;<UC>;TASTIERA DISABILITATA UTENTE VISUAL
1;10:33; 01-10-13;RIPRISTINATA;LINEA PERIFERICA  
2;10:33; 01-10-13;RIPRISTINATA;LINEA PERIFERICA  
3;10:33; 01-10-13;RIPRISTINATA;LINEA PERIFERICA  
 UC; 10:34; 01-10-13;<UC>;TASTIERA ABILITATA UTENTE VISUAL
 UC; 11:00; 01-10-13;UNITÀ;ELABORAZIONE
1;11:15; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;11:16; 01-10-13;130;CM US MAGAZZ     RIPOSO 
1;11:17; 01-10-13;<UC;#NOME?
1;11:30; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;11:32; 01-10-13;<UC;#NOME?
1;11:32; 01-10-13;130;CM US MAGAZZ     ALLARME 
1;11:32; 01-10-13;130;CM US MAGAZZ     RIPOSO 
 UC; 12:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 13:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 14:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 15:00; 01-10-13;UNITÀ;ELABORAZIONE
1;15:24; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 ALLARME 
1;15:24; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 RIPOSO 
1;15:25; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 ALLARME 
1;15:25; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 RIPOSO 
1;15:30; 01-10-13;Disinserimento;Area 05 (* FRASE NON PROGRAMMATA *)  
1;15:30; 01-10-13;DISINSERITA;AREA  n°05 (* FRASE NON PROGRAMMATA *)
1;15:30; 01-10-13;Disinserimento;Area 06 (* FRASE NON PROGRAMMATA *)  
1;15:30; 01-10-13;DISINSERITA;AREA  n°06 (* FRASE NON PROGRAMMATA *)
1;15:30; 01-10-13;Disinserimento;Area 07 (* FRASE NON PROGRAMMATA *)  
1;15:30; 01-10-13;DISINSERITA;AREA  n°07 (* FRASE NON PROGRAMMATA *)
1;15:30; 01-10-13;Disinserimento;Area 09 (* FRASE NON PROGRAMMATA *)  
1;15:30; 01-10-13;DISINSERITA;AREA  n°09 (* FRASE NON PROGRAMMATA *)
1;15:40; 01-10-13;Inserimento;Area 05 (* FRASE NON PROGRAMMATA *)  
1;15:40; 01-10-13;INSERITA;AREA n°05 (* FRASE NON PROGRAMMATA *)
1;15:40; 01-10-13;Inserimento;Area 06 (* FRASE NON PROGRAMMATA *)  
1;15:40; 01-10-13;INSERITA;AREA n°06 (* FRASE NON PROGRAMMATA *)
1;15:40; 01-10-13;Inserimento;Area 07 (* FRASE NON PROGRAMMATA *)  
1;15:40; 01-10-13;Inserimento;Area 09 (* FRASE NON PROGRAMMATA *)  
1;15:40; 01-10-13;INSERITA;AREA n°09 (* FRASE NON PROGRAMMATA *)
1;15:40; 01-10-13;Inserimento;Area 23 (* FRASE NON PROGRAMMATA *)  
1;15:40; 01-10-13;INSERITA;AREA n°23 (* FRASE NON PROGRAMMATA *)
1;15:40; 01-10-13;INSERITA;AREA n°07 (* FRASE NON PROGRAMMATA *)
 UC; 16:00; 01-10-13;UNITÀ;ELABORAZIONE
1;16:42; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 ALLARME 
1;16:42; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 RIPOSO 
1;16:42; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 ALLARME 
1;16:42; 01-10-13;162;CM U.S. DATACENTER F2 ISOLA 15 RIPOSO 
 UC; 17:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 18:00; 01-10-13;UNITÀ;ELABORAZIONE
3;18:07; 01-10-13;<UC;#NOME?
3;18:07; 01-10-13;ATTIVAZIONE;MODULO OUT n° 106 LOOP 3  RESET DOPPIO ATTRAVERSAMENTO  
3;18:07; 01-10-13;ATTIVAZIONE;MODULO OUT n° 114 LOOP 4  RESET DOPPIO ATTRAVERSAMENTO  
3;18:07; 01-10-13;ATTIVAZIONE;MODULO OUT n° 115 LOOP 4  RESET DOPPIO ATTRAVERSAMENTO  
1;18:12; 01-10-13;<UC;#NOME?
1;18:12; 01-10-13;<UC;#NOME?
2;18:12; 01-10-13;<UC;#NOME?
1;18:13; 01-10-13;<UC;#NOME?
2;18:13; 01-10-13;<UC;#NOME?
 UC; 19:00; 01-10-13;UNITÀ;ELABORAZIONE
1;20:00; 01-10-13;Inserimento;Area 08 (* FRASE NON PROGRAMMATA *)  
1;20:00; 01-10-13;INSERITA;AREA n°08 (* FRASE NON PROGRAMMATA *)
 UC; 20:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 21:00; 01-10-13;UNITÀ;ELABORAZIONE
 UC; 22:00; 01-10-13;UNITÀ;ELABORAZIONE
3;22:16; 01-10-13;<UC;#NOME?
3;22:16; 01-10-13;<UC;#NOME?
3;22:16; 01-10-13;ATTIVAZIONE;MODULO OUT n° 106 LOOP 3  RESET DOPPIO ATTRAVERSAMENTO  
3;22:16; 01-10-13;ATTIVAZIONE;MODULO OUT n° 114 LOOP 4  RESET DOPPIO ATTRAVERSAMENTO  
3;22:16; 01-10-13;ATTIVAZIONE;MODULO OUT n° 115 LOOP 4  RESET DOPPIO ATTRAVERSAMENTO  
 UC; 22:20; 01-10-13;<UC>;TASTIERA DISABILITATA UTENTE VISUAL
 UC; 22:20; 01-10-13;<UC>;TASTIERA ABILITATA UTENTE GEICO
2;22:20; 01-10-13;<UC;#NOME?
1;22:20; 01-10-13;<UC;#NOME?
1;22:20; 01-10-13;<UC;#NOME?
2;22:20; 01-10-13;<UC;#NOME?
